,cancerType
samp334_e0819bee_5642_4297_b6bb_70e41d54ee8c_LUCA,LUCA
samp335_8dbdbb8d_cb43_42b3_a653_e8575a22daf5_LUCA,LUCA
samp336_9cdfbc8a_c640_4e27_922c_053bc7fce262_BRACA,BRACA
samp337_dd20ba28_9db9_4c5f_8be9_4b419cee47a5_LECA,LECA
samp338_e2f47d3a_0e1a_47cb_a53f_697e2a3cb89b_LUCA,LUCA
samp339_391c24a7_6990_4b15_8a42_7de60580169d_LECA,LECA
samp340_98967392_eeb4_4c7f_8578_1faf0e5dc3d6_KICA,KICA
samp341_57d89d75_a9bb_4bd3_af76_d29def9a9625_LUCA,LUCA
samp342_6183a6eb_8d7f_44e9_8e59_5e74ddb7426c_LUCA,LUCA
samp343_f053a1a1_718a_46bd_a761_8ed3511aeb57_BRACA,BRACA
samp344_f20e5b5d_c132_46dd_906f_c46c5c2e6a34_BRACA,BRACA
samp345_c56a5910_5ae3_434a_9093_a4b264a644fd_KICA,KICA
samp346_2668105e_1ead_4371_b4dd_c841fa808d1c_KICA,KICA
samp347_1e0f16e6_de1c_4d1e_b1f6_5fabbea1591b_COCA,COCA
samp348_ed00fd94_9534_4bde_bf77_6f40ecbd4caa_KICA,KICA
samp349_9746b4ef_e389_4285_88ba_4cb73025a8b6_LECA,LECA
samp350_9f938aa7_9fc1_4893_aee4_15ab668b9260_LUCA,LUCA
samp351_3cbd44fd_f777_401c_99be_1d859cf08bdf_COCA,COCA
samp352_fdc57820_1370_4386_af1b_35dc4ed7f2d7_LUCA,LUCA
samp353_0d648d20_6546_4e9c_aaa3_78051c767b6a_KICA,KICA
samp354_c5d4a1ed_8fd3_4435_96f5_ea5e56326f20_BRCA,BRCA
samp355_4b05fe2e_87b4_4a0e_9d8f_bca88c29b58e_BRACA,BRACA
samp356_ac2a086f_42cf_47d4_949f_779824f11235_COCA,COCA
samp357_9ef49b51_d94a_48cd_9082_c9e9a547ef5e_LECA,LECA
samp358_e3694897_006d_4ec8_8685_25150040ad62_LECA,LECA
samp359_101ede6d_8b2d_4d60_86ba_dcae30da5158_LECA,LECA
samp360_f383e1a0_2847_49e0_bede_abe5ce5147ce_BRCA,BRCA
samp361_d58fe5dc_9a75_42e7_94af_2ab20a21dab1_LUCA,LUCA
samp362_328c49e1_51fa_48ac_beb4_8a35b7a0fa10_KICA,KICA
samp363_735ebe28_664d_4dc5_8d86_1e405e0f0756_LUCA,LUCA
samp364_baf70b5d_6ab4_4c34_af36_e09b9bd0f372_LUCA,LUCA
samp365_905aab99_b8f4_4769_a3eb_4b5d570fffaf_BRACA,BRACA
samp366_09b91534_5759_4000_9795_21b8cc1bbe8f_LECA,LECA
samp367_71809317_f775_4faa_b1c6_40bae85c69aa_LUCA,LUCA
samp368_17bf739e_0ece_40a2_aa9d_4d0001ba15f7_LECA,LECA
samp369_a6a841ae_f63f_45ab_9a17_2288e12a9577_LUCA,LUCA
samp370_c009471c_54a8_4aa9_bfa0_13ef040acfcc_LECA,LECA
samp371_6abcbd13_ff11_46d6_9ce0_6204a6658c39_KICA,KICA
samp372_67fc0674_3f48_41ec_a650_7efaa41607fa_LUCA,LUCA
samp373_30a6ea89_8eda_47cf_b336_e070fcd08740_LUCA,LUCA
samp374_eaaacefc_a798_4b6e_8471_0fde96a80bb9_LUCA,LUCA
samp375_41d6f903_5ac4_4481_aed9_fd141c7be021_BRCA,BRCA
samp376_814e81ff_bb80_4c3c_bd94_d86c89de9a36_BRACA,BRACA
samp377_e757eecd_aca5_42d0_9283_e5274f5c5469_LECA,LECA
samp378_56bfe1f6_369f_48a4_8cce_b3b392e29390_COCA,COCA
samp379_0c73a12d_b6a0_4ee0_9364_6744964e3526_LUCA,LUCA
samp380_9d1bf404_3896_4532_b9bc_d91f7cbc1e00_BRCA,BRCA
samp381_edd717ea_7ff4_43a8_b21d_cb9e5070838a_LECA,LECA
samp382_ad502a9c_1f1a_4118_a8f9_2cffb9b0c610_BRCA,BRCA
samp383_190e1754_70f8_40f7_9837_3b37a27439af_LECA,LECA
samp384_022396e9_30da_4818_8706_61b721f1bfa6_KICA,KICA
samp385_56050b40_0992_41bb_bf05_f4cab2541940_BRACA,BRACA
samp386_c89340e2_3cd2_4e0d_958a_f8ccc2ce12bc_LECA,LECA
samp387_af606e0b_b19b_4c8d_9cf5_6a195978466e_COCA,COCA
samp388_20af5f64_f766_4930_bb97_b337847c8244_BRACA,BRACA
samp389_866bf9d4_d497_453d_a829_663b7c50c27e_LECA,LECA
samp390_170888ac_1f76_472c_b3e2_12b9ea133019_LUCA,LUCA
samp391_ac754707_2aec_42ac_b372_abfe1e7fe112_LECA,LECA
samp392_2d90a554_acb6_4f2e_991d_bb037a45e5de_LECA,LECA
samp393_b2bcfd01_9662_4730_96de_1e51b4038802_BRCA,BRCA
samp394_d6787fba_8e4d_4e83_bd18_6d028d7b3a5a_LECA,LECA
samp395_fa405457_47b2_495c_9f94_7cc4c11b9cd1_LECA,LECA
samp396_e6037dc0_d2a6_47c4_86f3_98ae6a2890a2_LUCA,LUCA
samp397_bae16dbd_3b44_4eeb_9b09_4ebe70a91989_LECA,LECA
samp398_92fb16b7_bab1_4fd9_8f04_b41b4b74403c_LECA,LECA
samp399_7b689e1f_2e6a_441e_8e92_fa5e4f06e641_LECA,LECA
samp400_46dda4fc_c044_429a_9be0_541757af412f_BRACA,BRACA
samp401_30dd9f83_71aa_4149_8660_97cf11c7b2d6_LECA,LECA
samp402_f34c57ee_92a6_4e3b_acde_7fd631c42f87_COCA,COCA
samp403_4f586d4d_f4d4_4aba_9e48_0dcf3e9b0e6e_LECA,LECA
samp404_ac1028f4_f9fa_4bf3_9545_4d75d1761527_LUCA,LUCA
samp405_c1ee1340_3723_4edc_a2a5_904b503a7e19_KICA,KICA
samp406_f258fc7d_a58b_4e40_827a_d1de0ccd426f_BRCA,BRCA
samp407_e3142cf7_334f_4f34_a5da_53ffa4e1ba33_BRCA,BRCA
samp408_8e061784_782d_4c3e_a67c_8eacced28b1f_LUCA,LUCA
samp409_35aba04f_0479_45f8_b921_25a049ea6621_LECA,LECA
samp410_c9496c77_cfbf_42db_a862_af0b878b9852_BRCA,BRCA
samp411_b3c9ca27_6b77_4abd_92d5_45d48d34ba42_LUCA,LUCA
samp412_c130bbcb_8e96_4c21_982d_4bbdca2516e3_BRCA,BRCA
samp413_d9935be8_da1b_4a18_9d5d_215d709147f1_COCA,COCA
samp414_9f6f2003_f5a4_4a4d_956e_e0466163e84a_LECA,LECA
samp415_87a06489_4b88_4fe1_8896_0cf7d23a901a_LUCA,LUCA
samp416_2ed91002_739e_4276_9b56_b6d98db2fe1c_LECA,LECA
samp417_5264a2a0_313f_4ce5_ad0c_33f91c38ccd3_LECA,LECA
samp418_3f5e42a8_7295_4a29_9bca_771a361324ab_BRACA,BRACA
samp419_525e9185_ed15_403d_8987_93c50e4b89a1_LUCA,LUCA
samp420_96ec5d49_0218_48ad_9e63_ac2e408d2d32_LUCA,LUCA
samp421_f3df8eaf_1fd2_4e08_ad48_ce5aa1d64e19_LUCA,LUCA
samp422_35859f0f_3c07_4129_a8ac_913804546f38_KICA,KICA
samp423_b9c85326_7392_4f42_bd51_588b73379538_LECA,LECA
samp424_526e2e75_cc0e_4c03_916c_908fbc271854_COCA,COCA
samp425_5bd48e89_322d_4821_afdf_235592c28909_KICA,KICA
samp426_a8b071ea_9579_42f0_965a_abda89dd9b60_LECA,LECA
samp427_f13d5df0_7293_4453_942f_2b49a3d33057_BRCA,BRCA
samp428_51c1d5cd_c606_4594_ba26_253080d6c3d4_LECA,LECA
samp429_63298f81_bff3_4f19_ab0b_e794f3810309_LECA,LECA
samp430_3a78e999_4a79_4320_8e87_81dfa104be0c_LUCA,LUCA
samp431_4d0f380b_8a26_4708_afee_4b4c821b3809_KICA,KICA
samp432_dae15053_10f3_44a3_81b3_b2c902cea2ba_KICA,KICA
samp433_4551fe9f_b4ff_4556_a2ae_bd7234a979ba_KICA,KICA
samp434_d0b02f2e_ff79_430c_80f7_6156860e6780_COCA,COCA
samp435_4061f0f7_b4f7_4fdc_86ab_ee2a4b062581_LECA,LECA
samp436_790ea932_848f_40cf_ab94_673eea700aa2_BRCA,BRCA
samp437_525cd8ab_7d05_421e_8709_777c4c107327_LECA,LECA
samp438_2beab6d3_563d_421f_bf4a_7e1f843ec637_LUCA,LUCA
samp439_fff3f42f_5e42_4653_b91b_1676f914e9fa_BRCA,BRCA
samp440_8b816257_7aee_40a4_a318_57d4c72571b6_BRCA,BRCA
samp441_a8af336b_5bef_4ada_8500_3f6e07fd802f_LECA,LECA
samp442_cbdf1edd_a8c9_4fc8_88ee_928f01abae34_LUCA,LUCA
samp443_de7c355c_3a18_45e4_84b5_95dcaed850bc_LECA,LECA
samp444_c18f4327_5472_453c_98a3_3d60d4f1ceac_LECA,LECA
samp445_d336faaf_9dfd_4357_85ac_f449987073af_BRACA,BRACA
samp446_33aef1a5_fb70_4341_a24c_5e9702ecc3a1_LECA,LECA
samp447_99dfafce_1104_4809_8cc8_d6293b4835a7_LECA,LECA
samp448_e3333f09_709a_4c43_b2a0_cd12b824813c_LECA,LECA
samp449_c7b3d94d_9e9e_47d3_90e7_fc86ef5d5975_LUCA,LUCA
samp450_1e968122_090b_449d_aec2_0decee4d5e2c_LECA,LECA
samp451_06c83065_5800_451a_84a7_7a7f352493ec_LUCA,LUCA
samp452_d9a0e52e_bc94_4c35_a1e8_8fff7c68ee33_LUCA,LUCA
samp453_972213d7_680c_45ab_b63c_35ceeab40471_LECA,LECA
samp454_710a199c_93a1_463b_8f09_8cba6f15eb77_LUCA,LUCA
samp455_a37d7ef3_0840_4114_acec_ce9e29bb54e9_BRCA,BRCA
samp456_fb3d16e9_fd7c_4f3b_9e4e_6bf68a712d43_KICA,KICA
samp457_c58c72c3_3152_461a_b55a_9bcccc0b71f4_COCA,COCA
samp458_0e81317e_c7a0_4649_8c73_1493a7eb8989_LECA,LECA
samp459_56b5f24c_6220_48ad_afd3_f39022855f6c_LECA,LECA
samp460_b72689a1_2c14_49db_b489_f1627353a024_BRCA,BRCA
samp461_ba0570bd_508d_4b93_b147_365af6a86241_BRCA,BRCA
samp462_7437ff54_52c5_4ea7_87f2_d97c9a608657_LUCA,LUCA
samp463_47e1b07e_5e7c_4285_a6ec_93a148e5a99f_LECA,LECA
samp464_1c7a47d7_0749_473e_b901_6e87f9502d5f_LECA,LECA
samp465_6f046aa6_a990_494f_bd7d_b8716635cc55_LECA,LECA
samp466_32d02e40_6fa4_427c_86aa_c188ec4f862e_BRCA,BRCA
samp467_bb681d39_78be_4691_8147_838c0f6a0b85_LECA,LECA
samp468_c93e41f3_3a23_4757_af8c_af11fab60b52_BRACA,BRACA
samp469_56333f7d_368d_4ac5_947c_57f46fde33d6_KICA,KICA
samp470_9e504ab4_85a0_465d_be52_0c28ed83e5f8_LUCA,LUCA
samp471_fa29cad7_cac6_4d06_ac72_d46ced60303e_BRCA,BRCA
samp472_44df0b54_867f_4aef_8769_5d3fa8887b94_BRCA,BRCA
samp473_d32c4662_2b0b_4f78_b031_e6ff5286664c_BRCA,BRCA
samp474_2a6068c6_1273_4969_8339_96843a5b64b4_LECA,LECA
samp475_6203ff36_3658_44d1_a4f8_392ba7f1199f_LECA,LECA
samp476_f27ef86d_34e9_48e6_afca_7818163f483e_LECA,LECA
samp477_83f93d3f_d038_4773_a671_0f218f53821c_BRCA,BRCA
samp478_6f6a87ce_1eb5_4c79_939a_2b207321bb3d_COCA,COCA
samp479_4868e8fc_e045_475a_a81d_ef43eabb7066_KICA,KICA
samp480_34bc99d9_87dc_49ab_87f3_0a110de02f08_LECA,LECA
samp481_98f3d2d7_edc4_40aa_b09a_63f8abd2b528_BRCA,BRCA
samp482_e727eac4_b5cb_45f4_9410_e8a1fdc20007_LECA,LECA
samp483_02ac1b66_644a_4db8_ad4c_105d830cb51f_LECA,LECA
samp484_1cb15aef_b8b2_4cbd_bd99_2e0c6df9d6e1_LUCA,LUCA
samp485_44c491c6_023b_4687_9caf_c750f1efa9a8_LECA,LECA
samp486_7b4a07f9_f648_4c84_ac57_f742456352b7_LUCA,LUCA
samp487_c93e78f6_1c35_4139_a6b4_c29c229c8b68_BRCA,BRCA
samp488_e6b6dada_24d1_4020_b5c0_3824670d079e_BRCA,BRCA
samp489_9e9c0738_1c02_47e6_a1ff_d3745ed7b619_LECA,LECA
samp490_382d5298_8c0d_40bf_9391_b962f037c04a_BRACA,BRACA
samp491_0f28a25e_ba92_4279_869d_b641e2f5c72b_BRCA,BRCA
samp492_cfc4c1bf_3dc2_495a_bb51_ad49c4137a21_LUCA,LUCA
samp493_12b633ae_2a36_40b0_a4a3_c1d5f021fa23_COCA,COCA
samp494_24bd476f_0f45_4aa2_b88d_2f6473b0b68f_LECA,LECA
samp495_a2f6777b_c1a4_4259_aebd_67fcdfd04e50_LECA,LECA
samp496_6394059f_8ec8_4fe7_80bc_3650c76b4499_BRACA,BRACA
samp497_3daeeb64_4231_46a8_b950_360fbdd908f3_KICA,KICA
samp498_7050a8f4_f7f5_41ba_9bda_942d369cf317_BRCA,BRCA
samp499_2a642915_0161_471e_8644_71ff9c303354_LECA,LECA
samp500_1352d361_6309_43a3_b77f_febfb94b5ef8_LECA,LECA
samp501_d6f4d029_ae8a_46c0_a0b9_06125e86c218_LECA,LECA
samp502_5fc33ea3_5008_4b88_b672_8358213db14c_LUCA,LUCA
samp503_422d6c65_7b79_427d_a8d1_f14f23eb4be5_KICA,KICA
samp504_1652b0a3_dc1d_4490_9632_07673713deb1_COCA,COCA
samp505_f0bc4292_6662_460a_8bf8_a3c9fa2fd7be_BRCA,BRCA
samp506_59f108c6_677f_4cf2_89fd_6bd15133dd6f_COCA,COCA
samp507_aab46c1a_188d_4286_9dbe_a998a736bfc5_LECA,LECA
samp508_040e40de_4c19_423f_98dc_151e2633d085_BRCA,BRCA
samp509_2cbc4d1e_8301_4ea5_b425_5b15588ff7d5_LECA,LECA
samp510_0f1b8440_4376_4861_a4fd_62511a819a97_BRACA,BRACA
samp511_791f994b_77e3_493e_adc2_1ecc2708987c_LECA,LECA
samp512_54a1fa84_a924_4984_9587_b4b4d7c8ec34_LECA,LECA
samp513_3a5c813b_6c47_49aa_916c_bcddbafdd54b_LUCA,LUCA
samp514_aeea81c2_afda_410d_a0bb_955e7cddda09_LUCA,LUCA
samp515_d296b21e_ee97_4cdf_aba7_c28cd65f8388_LECA,LECA
samp516_be10ae89_8bc1_4ef3_aae2_8e49379d8649_COCA,COCA
samp517_138b778e_054f_4964_bc60_d2cfdae81ce1_BRACA,BRACA
samp518_403cc11b_05e3_40e5_aed2_8d472ffcaa6f_LECA,LECA
samp519_d898474b_c4fc_4a33_800b_0ccce8b4b755_BRACA,BRACA
samp520_68375134_436a_4692_b80b_50dc39b94a94_LECA,LECA
samp521_1e037fde_c6a9_4483_8c4f_3ea4acb56822_LECA,LECA
samp522_31b96287_beeb_48dc_8424_e18544ac4b57_LECA,LECA
samp523_b77706ff_18b3_4734_8c00_b9928f8a3fe4_LECA,LECA
samp524_910e9cbd_e7bc_487b_bce4_586562b4605e_KICA,KICA
samp525_edc3dfbe_7937_45e9_8628_fc042e692d7b_KICA,KICA
samp526_e0d86de8_70b0_44ea_a286_7a6fa90987ce_LECA,LECA
samp527_baa021e3_ed59_478a_b182_d07e3b8f8672_LECA,LECA
samp528_367ce5cb_52f9_4c87_aaa3_2808fca08bef_COCA,COCA
samp529_602ac1fc_c8ad_4e47_988b_1e9e1aa3ce26_LUCA,LUCA
samp530_d801e500_f0c1_482c_a436_177c86e00623_LECA,LECA
samp531_6569076a_f592_4be7_bf8a_c866503c228a_LECA,LECA
samp532_6c5e72c6_18f8_4994_9574_56a429d12ac5_BRACA,BRACA
samp533_f39218c2_ec89_4534_bbea_a38ebd687852_LECA,LECA
samp534_1cb7f73e_af63_4d6a_b6a1_fe289435a93f_BRCA,BRCA
samp535_2447d6d6_4267_4dbe_ace7_45aaed75015b_KICA,KICA
samp536_eb8c25a9_db54_4957_b935_b64186d9d95e_LECA,LECA
samp537_b182111c_7028_42d6_a992_c81b76ddbc4b_KICA,KICA
samp538_5b99ff35_d986_419e_b75d_ae8a2c453c85_LECA,LECA
samp539_d342d71a_e556_401d_b17f_802d0d39e8c9_COCA,COCA
samp540_c243dd0c_d817_40f7_8794_e1bb3f6dd0e1_LECA,LECA
samp541_3c268783_cfb4_4e67_b392_54a1e5ed7966_LECA,LECA
samp542_27cef13c_e561_47ee_b8c2_fcf494658ddc_LUCA,LUCA
samp543_3ca2395c_b080_4307_aa99_c101fa435b10_KICA,KICA
samp544_b1313f95_b973_459f_8002_9b00ac7cbafe_BRCA,BRCA
samp545_7a7db25a_c977_4888_ad70_45eea7aa24ff_LECA,LECA
samp546_e14330a3_e8b2_4aa1_b7b6_cb977fb5ec58_LECA,LECA
samp547_7d2b6ff4_8f35_41cf_b078_3e78d0b81800_BRCA,BRCA
samp548_e7530ba4_3784_4bd7_92ba_4e58b397cff0_KICA,KICA
samp549_dcb157d4_0cad_489c_904d_27560c81aeb2_LECA,LECA
samp550_a2a798c5_3b1e_4192_8c6a_8c627cd0879e_BRCA,BRCA
samp551_b707621f_1f89_4058_be18_33020b9ebec3_BRCA,BRCA
samp552_4ecaed96_fe09_4ea1_9bba_081ababbc8d6_LECA,LECA
samp553_3a9fb423_debe_43e4_85b6_26133d237450_LECA,LECA
samp554_182e9640_6986_458b_84cb_0f89816864ed_KICA,KICA
samp555_0c68b587_a6a7_429f_968a_3ccd3a961f06_LUCA,LUCA
samp556_e6156110_7ffa_45a6_b6d1_7216a21836d3_BRACA,BRACA
samp557_4cc96a03_4717_465b_b0c6_dfb947ff3c5e_BRACA,BRACA
samp558_a224db04_2b87_4e93_970a_023d0be1558c_KICA,KICA
samp559_4f8b284e_7e42_45c5_b7cc_57cc678ec3df_LUCA,LUCA
samp560_c33ecc28_d5ba_4416_b93d_445b7883b6e8_BRCA,BRCA
samp561_e7ecb3a4_a955_4aba_a369_7c21e85779ab_KICA,KICA
samp562_d1dea496_436a_474a_b0c7_b3c70f8d4fcf_BRACA,BRACA
samp563_b8f33100_c35b_4695_aca1_e9d68dc064b5_LECA,LECA
samp564_745fddd7_e3d8_401d_95bd_2a8c45f65ac9_LECA,LECA
samp565_3b5d9bee_5e4f_4afc_b297_2f072ef18a93_LUCA,LUCA
samp566_e9ceef39_aec7_4fd3_bbac_7e6d9bff6eb1_LECA,LECA
samp567_f38c7f57_ccbf_45a1_8d91_635c893e5ba8_LECA,LECA
samp568_5ca88067_61ee_42e5_aa69_8e27187d3234_LECA,LECA
samp569_765b2b7c_4365_4998_97e6_24da6b76bc51_KICA,KICA
samp570_ab2da4c5_955f_4072_8021_6d2a617089db_LUCA,LUCA
samp571_8aaaa253_87d2_4292_aeb2_1b207b71abef_COCA,COCA
samp572_359a8505_d440_4491_b3b4_dccfa62ed665_LECA,LECA
samp573_661aca79_eff3_4c80_9855_5d4b54dca1c7_LECA,LECA
samp574_01f1cd8f_90da_4f54_9efe_a4ea78a037b7_KICA,KICA
samp575_748bc877_f3e7_4d78_afe8_6e90aaabc28a_BRCA,BRCA
samp576_27f1c64f_193e_4334_a5ec_a8f27bd15d93_LECA,LECA
samp577_a28f5aab_28cf_4029_889d_ee10b345a6ba_KICA,KICA
samp578_92b8ca96_0c10_4c9b_8aa2_bf18b427567e_KICA,KICA
samp579_857c31be_44ec_42bc_ba2c_5f17ac1d9a8c_BRCA,BRCA
samp580_4c4dea45_471e_4008_a99c_f438a0cc2e9f_LUCA,LUCA
samp581_acb208ab_def4_4b55_b1c7_abe2130e61c9_BRCA,BRCA
samp582_2ea5b654_8b53_4e39_8f1a_129a46474ae2_LUCA,LUCA
samp583_a7581a96_0b0f_4ff5_834f_57169c26ac10_BRCA,BRCA
samp584_8fa3359f_1e40_448a_aae8_a955c1ca3323_LUCA,LUCA
samp585_b4de9ff8_1ab4_4118_87df_8bea29fe3d29_KICA,KICA
samp586_f766816f_972b_4932_9a07_815b18a1d376_LUCA,LUCA
samp587_58d4f959_995a_4cc9_95ab_79a10dcdae35_LECA,LECA
samp588_4ae959fb_8f80_420d_91f1_1715e10a37c8_LECA,LECA
samp589_103bb2a1_5127_47fe_8384_fd5625170e7e_KICA,KICA
samp590_eee28603_f96f_47c5_acc4_b892dabd3611_BRACA,BRACA
samp591_45fa32f1_b35f_4033_876a_ff1e429eae33_LECA,LECA
samp592_56c858be_3637_4ba0_81be_208a3edac992_LUCA,LUCA
samp593_7d4feced_28e1_42db_beee_e2600f8308ca_LECA,LECA
samp594_a8ecd9a3_e7fa_434e_a354_3687962be98f_LECA,LECA
samp595_d3959d4a_9c86_4306_bbdd_d3a04664ba2b_LECA,LECA
samp596_32f5efb6_6503_420e_a187_0aa47955a351_LECA,LECA
samp597_156815c6_822f_4951_b1f6_71df641a5144_BRCA,BRCA
samp598_d377218c_5e53_462c_849c_4f463f9cc4c2_LECA,LECA
samp599_5642b796_d7c3_4643_9bf5_772178bb35d0_LECA,LECA
samp600_050de2d8_3ecb_4305_a5a5_4a8d4c4f44f3_LECA,LECA
samp601_89d8958d_7cc6_437e_9f0d_adc2110c5cca_BRACA,BRACA
samp602_453b8fcd_10ba_4ff4_8c58_2c43a93f5852_BRCA,BRCA
samp603_e90e482a_beca_4f4e_b703_ab88de0db5ff_KICA,KICA
samp604_9e275e85_1818_4c53_ac61_eff0f45d0055_KICA,KICA
samp605_22620634_aa34_4cb5_a37f_5a7b0c47cd0e_COCA,COCA
samp606_a506dc7e_af51_48ce_97bd_0ea6683c2cd5_LECA,LECA
samp607_4cd2eb99_b883_47e8_915b_b01b2556803f_LECA,LECA
samp608_96f0d70a_212f_45f5_a997_b392bea009cb_LUCA,LUCA
samp609_4121633a_ae10_43b6_a133_30efc9bc349b_LECA,LECA
samp610_02a50d1b_ff62_4936_a0ce_ac0e22a5b41c_BRCA,BRCA
samp611_fe5808ac_8fc8_48d4_b2c2_cf166f2174c1_LECA,LECA
samp612_89f2f554_2f35_480d_9f6e_2b28bb3f81cf_LUCA,LUCA
samp613_9a4caccd_ab60_45a5_a56c_30b9e8f6bf93_KICA,KICA
samp614_fddd9f63_f4af_46b9_9627_f69fcff845ed_LUCA,LUCA
samp615_40b404b9_cc48_4c9f_8206_61fc10e5674a_KICA,KICA
samp616_d38b6aba_7bfd_43f0_98f7_f669323e6da1_BRCA,BRCA
samp617_74932382_7e20_4d78_8de2_f33316e2981f_LECA,LECA
samp618_7fc1ca50_6520_4cb1_929c_4e7810665585_COCA,COCA
samp619_fd98e5cd_02ad_4b1a_840d_7539810518f3_LECA,LECA
samp620_9b43ea45_54a2_4bf8_8089_1f623c7143fe_BRACA,BRACA
samp621_506f5511_089b_401d_9e9d_887b5c6abcba_LECA,LECA
samp622_d0a10591_554e_4fa0_b15f_5281f7657b20_BRCA,BRCA
samp623_cf696163_f828_455d_a745_36718ecfc973_LECA,LECA
samp624_2553a422_8136_4fb9_95af_3ffafff2d223_BRCA,BRCA
samp625_499b6b79_5d1d_4146_b596_a2a8628e8c34_LECA,LECA
samp626_c469b31e_857a_4ac6_9a45_978c99391d9d_BRCA,BRCA
samp627_47eef62b_8347_474f_9202_13b67d3e2d95_KICA,KICA
samp628_084453b9_a998_4a0d_b879_c896955de433_LECA,LECA
samp629_5991af25_0b64_43d2_867a_6b9713b17af9_BRCA,BRCA
samp630_ec5cac4e_8ce0_4212_96d1_24e0f4ab3d7e_KICA,KICA
samp631_e0e050cc_5e2a_41fc_8394_b4816a9dc8a2_BRCA,BRCA
samp632_f77107b2_42dd_42c6_9b40_f5f24d18f6f3_KICA,KICA
samp633_b8ae4b22_83b8_4cbf_9d3c_49092b7e0903_LUCA,LUCA
samp634_e2374397_4770_4ae2_887b_b87ff15703ac_LECA,LECA
samp635_e34f26e1_7b66_43fd_9890_a99b77e71e46_LECA,LECA
samp636_40b36d81_da0e_4cbc_ace7_16627b834a1e_KICA,KICA
samp637_8dcd46b0_6bff_4a66_b27f_9329513cab48_KICA,KICA
samp638_e4e983eb_2aa3_4858_b67f_9cc70452768c_BRCA,BRCA
samp639_c6ceb314_3ced_4887_8693_4d0960977466_KICA,KICA
samp640_5d509130_5ef6_4669_87c6_709dea47db8a_BRCA,BRCA
samp641_500f24e0_a5fd_4349_bf8d_cd66d8aaec20_LECA,LECA
samp642_4f709f4b_3140_47be_b55a_7713062545e9_COCA,COCA
samp643_5c1d9af2_e798_4e2f_83af_05c27225e3e0_KICA,KICA
samp644_3954717e_89b3_4dd0_997e_9fdde4dd4a40_LUCA,LUCA
samp645_5020d5e7_30d9_4249_b582_3448db799036_LECA,LECA
samp646_90ab8f48_cdb6_4e2d_a728_7d62661cac19_KICA,KICA
samp647_a59f93e6_7578_46ee_bf3a_38bb104d5f8c_KICA,KICA
samp648_5be6be6f_9730_45a5_943c_0a79ceebc42a_LUCA,LUCA
samp649_50108c12_718c_48fc_8f76_23ce0c13e2e6_BRCA,BRCA
samp650_b1883b15_b002_43c1_a94c_bb68d6ff3091_BRACA,BRACA
samp651_8a9cb451_9e22_4d13_9686_b1126258ea76_KICA,KICA
samp652_14026b81_9264_4a6e_a43d_66f45b37a95d_LECA,LECA
samp653_c376e507_0db5_438f_a242_5538a56dc29a_KICA,KICA
samp654_2aa27581_f5f4_40cf_a8fc_15e03705dda1_LECA,LECA
samp655_ee0c0e7a_05ec_404d_babd_5d51b71da9c1_KICA,KICA
samp656_1e473e62_d679_45be_890c_77c52a3e7d47_BRCA,BRCA
samp657_29c49da8_3d12_425d_abe6_de2be5e6807f_COCA,COCA
samp658_011ccd6c_529a_4529_825d_ba024c13098d_LUCA,LUCA
samp659_f98af127_bea5_4c97_bc7f_859d7921e4ad_LECA,LECA
samp660_46737a37_49e8_4320_92b7_16793c54fb92_BRACA,BRACA
samp661_f1045544_bdf3_4748_88d4_72be6540ea91_LUCA,LUCA
samp662_067ab59c_3183_4b82_8dfa_1095d065efc0_LECA,LECA
samp663_1d6a3105_dca4_4421_9717_6d3518e90d54_LUCA,LUCA
samp664_1b32ed8c_74eb_4b2b_8383_fb090bdbcd17_BRACA,BRACA
samp665_b41b255d_ae3f_46c5_9246_0a35559e90cc_LUCA,LUCA
