,cancerType
samp666_20f3b824_5746_40fe_bc2c_7d9ce1fbb714_LECA,LECA
samp667_4a044649_75ac_4fb6_bb18_f7bbd6618444_KICA,KICA
samp668_b1cc3179_9805_4e71_954e_5871c162dde2_LECA,LECA
samp669_b3207d32_809b_445d_b143_1ce9d8aad2f2_LECA,LECA
samp670_4564496a_31da_4537_abe0_5b3f2455ed13_LUCA,LUCA
samp671_05496050_e512_485a_b575_8e876faba391_KICA,KICA
samp672_fe5832d5_4e3e_4f0a_b31d_1c3f97fa821f_KICA,KICA
samp673_51efde36_1dbe_4f90_82f4_0f0280e47b24_LECA,LECA
samp674_d635a6e8_ecb3_4f9c_a56a_af1d0c714d7a_BRCA,BRCA
samp675_b860d6fe_ca15_4f58_9617_beea194d2129_LUCA,LUCA
samp676_98b03821_8f05_494e_9e5a_2a550e4e66a1_LECA,LECA
samp677_7b071adb_6813_497d_bfc6_423b2c9d231b_LUCA,LUCA
samp678_42308fb1_1b7a_44ea_8f73_2dcc503f4ef3_BRACA,BRACA
samp679_b9d6b838_e8da_4835_b0a4_4b4e08007ec2_LUCA,LUCA
samp680_b30a2d76_0fbd_4ef6_9358_ecff487a453e_LUCA,LUCA
samp681_e8d37393_14b4_48ef_8574_0027d4ec4516_LECA,LECA
samp682_9ac3cff3_94ef_4f22_925e_fe949693bbb6_LECA,LECA
samp683_c1a77efd_9335_460b_9af7_c47cc87702e7_LECA,LECA
samp684_96403ed2_56f1_4400_9b71_38364e579bae_LUCA,LUCA
samp685_648cd526_57df_4ee8_a48e_02babbe7e5c6_KICA,KICA
samp686_a585711d_48a4_45bd_bb45_f9d2a7717af0_LUCA,LUCA
samp687_d372fdcf_a087_4773_880a_169ecc0d1fd0_BRCA,BRCA
samp688_88441590_9b57_4996_ad33_bed2f2a45174_LUCA,LUCA
samp689_4a967e6f_d39a_4fe5_864b_a43e8184a852_LUCA,LUCA
samp690_7c7ed348_b6bb_4ae2_a682_eab5e4dc38c5_LUCA,LUCA
samp691_db5dab56_838e_4784_a7cf_f05296e356f7_BRCA,BRCA
samp692_cefdd341_317f_47dd_811e_21f744fd66e9_BRACA,BRACA
samp693_a7b067c9_a62a_4d3d_8c4e_668830f7441f_BRCA,BRCA
samp694_0875b60c_0a69_475b_9010_6b47cac821c8_LECA,LECA
samp695_4990f4b4_13b9_4646_b860_83980486e6b5_LECA,LECA
samp696_29000c50_6667_4281_a97a_5f02cb24a8f4_LUCA,LUCA
samp697_d54e5deb_609b_40df_a9a6_0b74d782b6d1_LECA,LECA
samp698_616616ea_1328_47c7_bcf3_d025cda4e51c_LECA,LECA
samp699_91b22fd4_4b09_4b8c_9ee6_08c66b8ad324_KICA,KICA
samp700_6047cae9_112a_48b3_abbc_d82e9073c4c2_LECA,LECA
samp701_68501d30_5b6d_4f20_8a8d_dc0590467f6f_KICA,KICA
samp702_7b1ab337_54a7_458a_9385_12e5a4fe9d02_BRCA,BRCA
samp703_4832ac16_e2d5_4405_9162_91ccc55fef6c_LECA,LECA
samp704_0f0da7c5_9992_4e81_adc2_3bdd33597545_LECA,LECA
samp705_cdbc6d96_7ec7_404e_8fc6_548738185379_LUCA,LUCA
samp706_74fda056_35d6_4573_b308_778f43bbd50e_KICA,KICA
samp707_8f45c6c4_b98d_4e0b_9bb0_b5be3894076d_COCA,COCA
samp708_c03bacb2_25ab_488a_b2df_1eaa34fd75fa_LECA,LECA
samp709_f6108b9b_e02f_4608_bec3_bcc0112d05b4_LUCA,LUCA
samp710_adc88e24_63ac_4ab8_bae2_77c1f1bef50a_LECA,LECA
samp711_852508b0_5a5e_4730_8c70_6aabc0aa88be_COCA,COCA
samp712_936b0acc_2f32_4d37_bdae_6246be4fe0d9_COCA,COCA
samp713_068ba2ae_288c_446d_8d17_72445ce4f788_LUCA,LUCA
samp714_db555272_4a62_47b7_9086_9623f688b1cf_LECA,LECA
samp715_33527fe8_7215_45bd_8520_b290995b839d_BRCA,BRCA
samp716_d453ad42_35f0_4942_a69c_e7a91470612d_LUCA,LUCA
samp717_3d6190d3_a73e_4682_a06f_368b657176c6_LUCA,LUCA
samp718_d416256e_6d61_442d_b82d_e66decf8122d_KICA,KICA
samp719_a0a768ff_bf05_4d87_8f7f_5225ebacb2bf_LECA,LECA
samp720_4758c927_7adb_4a73_a873_309098e81305_LUCA,LUCA
samp721_2e809156_fef5_49ff_b9b0_09912cc7e3a9_BRACA,BRACA
samp722_a7999e11_7c13_40b9_ae00_8bf6e367605e_LECA,LECA
samp723_1ed40291_28a4_4d92_b494_f6393945db5a_LECA,LECA
samp724_a37efe02_9662_4b90_8251_003ccb96aed4_BRCA,BRCA
samp725_73f7a8d2_ad85_4e36_bb24_68ce71d03adc_LECA,LECA
samp726_f07b7c4c_5f30_4c51_9eb1_4f873ad49c56_KICA,KICA
samp727_2f93d52a_e8ab_454b_ae76_74b35cd561da_LUCA,LUCA
samp728_039f9374_b1c9_45aa_b708_5e77215ca881_LECA,LECA
samp729_f1d01b35_7a63_48c1_82ae_a9684906ef65_BRCA,BRCA
samp730_f78467d8_2869_4070_9f34_e2d1486fbbfb_BRCA,BRCA
samp731_38883af5_17c5_472e_8593_407ff2890829_LECA,LECA
samp732_75889413_6b79_4fea_bf9f_d74cc9ba3a83_LECA,LECA
samp733_4250878d_ba0b_47e1_96c6_f2331f93ce37_BRACA,BRACA
samp734_2a05b2c0_f94d_4c07_889a_def7131895bd_LUCA,LUCA
samp735_fdba2ef1_3bca_4e5b_ae6a_9d1eb49f3ff9_LECA,LECA
samp736_ff3e0fdd_f4ad_4c88_873f_876463888871_LECA,LECA
samp737_a9cfc5cd_29ea_43ca_81a8_3a2b8f467cef_LUCA,LUCA
samp738_7c1f22be_3f25_4ac5_afe8_309341e3eeef_LECA,LECA
samp739_8e4be1f8_ad8b_48eb_b537_3bd2609f4931_LECA,LECA
samp740_7ab8de30_a578_4c6d_a88b_190581a8b3fe_LECA,LECA
samp741_7840816b_ff3e_4f03_bed7_55e000cf786c_LECA,LECA
samp742_075bfa9c_0354_4fcc_9fa0_28961f5625b8_LECA,LECA
samp743_3fa3af13_58f0_4c5b_b009_f6f936fb07b5_COCA,COCA
samp744_471928e5_cd08_49a8_ac79_cb8180218b6f_LECA,LECA
samp745_4a8f329c_c0b8_420d_b173_22011afee97b_LECA,LECA
samp746_f02147f9_67d8_49bc_a565_703bc71842e0_LECA,LECA
samp747_e17f48eb_185f_4045_b650_8c760d37f9a1_LUCA,LUCA
samp748_6cd5c5b6_111a_4440_a696_3e2371734cd7_LECA,LECA
samp749_c42bc86c_11ae_4b1b_b281_dfdd2e2250a6_LUCA,LUCA
samp750_dc770048_a3fb_4e86_84bb_3095d04e5823_BRCA,BRCA
samp751_e6906d80_1feb_42c1_abe2_846fb4883e10_LECA,LECA
samp752_9f97eefe_7a72_4e92_8085_74306d370d79_LECA,LECA
samp753_1742c1d9_a359_4d9e_b1e4_1d162472e67a_BRCA,BRCA
samp754_215e0f4b_669e_434e_bffc_5c06d3260e59_KICA,KICA
samp755_9e0e20e0_dbc3_4d11_9966_87907ce1a500_LECA,LECA
samp756_d0edd98e_1fed_42e5_a8dc_632d03d02d65_LECA,LECA
samp757_1e409782_57e3_42ab_8952_678a4cdb6b2f_COCA,COCA
samp758_b3775e45_a320_4a62_be86_ff27811e6e07_LUCA,LUCA
samp759_4ebec7e0_8377_4c46_b153_d7b084aa7cab_BRCA,BRCA
samp760_0476562e_e1f1_4864_b711_76e5ff5431d4_KICA,KICA
samp761_b1266a2b_79a8_41fb_b79b_8425efc74575_LECA,LECA
samp762_5a2fb8ba_a509_4216_83b5_174c1ee94c17_BRACA,BRACA
samp763_d703553b_bbd2_46c5_8293_c7251e806989_BRCA,BRCA
samp764_c24618ee_27b7_4760_99d1_fa9b338f05c4_BRCA,BRCA
samp765_6b633030_3410_487b_ba7a_5b6956088ebb_KICA,KICA
samp766_6db5b8d7_ba5c_4a7b_98f9_de0aef97a9c0_BRACA,BRACA
samp767_325f91c9_70b9_4285_a7ff_0b7b6280a8ed_BRACA,BRACA
samp768_4a4d2e69_bfaa_44d3_b4a6_4226ea4e3df5_LECA,LECA
samp769_9f519b58_d50a_40c3_a010_11aea976bab6_LECA,LECA
samp770_8a2ea24c_bfc6_4312_af23_3cb33d6dc5cf_LECA,LECA
samp771_45cf5e08_ba9a_4ee7_b00c_b531ab7b4f28_LUCA,LUCA
samp772_75206eb0_b667_443e_b3b6_e2527a831a0e_KICA,KICA
samp773_27f20469_cbf5_417f_922a_19cf9e8b790c_BRCA,BRCA
samp774_f62519fa_7479_4e20_9ae4_d57f8a1e0e64_COCA,COCA
samp775_dce9a213_293c_475f_8cdd_68146abd8269_BRACA,BRACA
samp776_37333883_1fbf_43ae_a840_7abb65d9458d_KICA,KICA
samp777_432a3dda_cb0a_4d72_8cb1_90d625cc1caa_BRACA,BRACA
samp778_3d2f1ace_a9d6_46b8_b76b_a9b58d56a837_LECA,LECA
samp779_290ad2c0_6aeb_4eba_b3e7_fc47e8bfbdce_LUCA,LUCA
samp780_6d0bcf3c_1740_4527_8e15_b0c9c66158aa_KICA,KICA
samp781_aac65d2c_602b_4cfc_aaf8_6f731533c4df_LECA,LECA
samp782_f3184265_50a1_4d5e_891d_156a2994da1d_LECA,LECA
samp783_d5926b71_692e_4b6f_a7e1_8b5afdd745c6_BRCA,BRCA
samp784_18ecaf97_8c5f_4aac_9ea7_372a7d8162c3_KICA,KICA
samp785_2f48e51b_e4c5_4037_a472_2554024dc808_KICA,KICA
samp786_c4779698_5c81_4eed_80ac_80fdd47f658b_COCA,COCA
samp787_8a5dc9a8_f555_463a_bf9e_c5c173be7a3f_LECA,LECA
samp788_5383803f_baa4_42b4_a095_8fa5edfe1e8a_LECA,LECA
samp789_15e83dc5_b666_4236_b94a_595e17f1a2b0_LECA,LECA
samp790_3562d885_15d7_415a_bdf7_731c8bbae36b_KICA,KICA
samp791_2b3f591a_b826_4a4e_999e_1cf50172e56d_KICA,KICA
samp792_1d9d65b8_5af4_40e6_a01f_236f45cfecb4_BRCA,BRCA
samp793_f18e4f29_844f_4cec_ad36_0ebe9491ed3d_BRCA,BRCA
samp794_83c9a6d9_eb15_4393_98a2_9998992f7ed0_BRACA,BRACA
samp795_37026f48_802b_4f75_a8b7_248d9be44daa_LECA,LECA
samp796_5d5937d5_7e5b_41b4_bbfe_fa26086b7dd2_KICA,KICA
samp797_a2aeea1d_ef6d_46dc_9bcb_c3e735fc798c_LUCA,LUCA
samp798_cfc94988_f463_4d29_8c4b_96106607e7f7_BRACA,BRACA
samp799_7e897889_4ef7_4ba8_b118_6f0f81840126_LECA,LECA
samp800_6e57f7b0_a3c6_4d46_ae9d_44d6a26a82a5_KICA,KICA
samp801_83ebfc77_06e4_47e2_a2fe_7b3bfae0ed16_LECA,LECA
samp802_66053d7d_d3e1_417c_8fdc_6b4b69f50a04_BRACA,BRACA
samp803_c0a09c2b_2e88_4e24_93a1_469aba247788_KICA,KICA
samp804_facad82f_1a6a_4567_80a8_6d0460b83862_LECA,LECA
samp805_30a67cbd_940c_40c4_9f86_a8ba9fe63177_BRCA,BRCA
samp806_7240b603_09cb_4a39_9594_87392b354255_LECA,LECA
samp807_63af1588_387b_44a7_97ed_4f73559347c2_BRACA,BRACA
samp808_3f492a04_12ca_4dd8_a1ee_aac7d7fc838a_BRACA,BRACA
samp809_8a7a2dda_c92e_425c_9c18_5f50aaeba203_BRCA,BRCA
samp810_b605621a_61c1_4542_b6c7_3f4729e68b9f_LUCA,LUCA
samp811_45369480_8c9e_4fbd_871f_7f6b4e0cd682_LUCA,LUCA
samp812_6058db39_8257_44ee_8f84_da07a7bef000_LECA,LECA
samp813_26a77787_2a38_4745_94bb_949dabb2b902_KICA,KICA
samp814_0406d0f2_5c89_4aac_9ade_4c001eeaaaf6_BRACA,BRACA
samp815_36488cf7_6e9e_4464_b331_5a4cf79030b7_LECA,LECA
samp816_fc991e3e_2254_4c4b_bf88_2115807b1801_LUCA,LUCA
samp817_420197bd_db07_4df9_8f72_3d7d509ae1d0_BRCA,BRCA
samp818_8f647ba2_029b_44b3_b51c_3bd006ebe14d_KICA,KICA
samp819_f1600b0c_f3ac_4c19_8c43_6af450abb6a3_BRCA,BRCA
samp820_78770a19_945a_4b1a_a02c_7794b9e29080_LECA,LECA
samp821_b64cfe7e_b83f_45f5_9d9c_f0603d7db284_LUCA,LUCA
samp822_131c0149_e810_4004_97e0_6c8a4aa9049d_LUCA,LUCA
samp823_53592ea4_c647_457d_87f4_2532bafa8810_LECA,LECA
samp824_98930097_4cce_4750_8839_156d1075d6ca_LUCA,LUCA
samp825_45ab4192_f1bb_46cd_8e85_c2341d67642f_BRACA,BRACA
samp826_fc15d209_f3fc_46b6_b3a2_942b233bd197_LECA,LECA
samp827_92a613dd_4173_4b45_b9b4_8178d0eadc08_LUCA,LUCA
samp828_b48180c5_ca6e_484c_9005_97ac138f0cc5_BRACA,BRACA
samp829_4848c180_254b_4b08_977d_872aabfaee29_LUCA,LUCA
samp830_580f87ac_117b_43b5_ad56_f3554b0726ff_LECA,LECA
samp831_767fc312_2c66_43f7_b78e_bf79e03e3a0a_COCA,COCA
samp832_92a16636_2301_47b4_b43a_1897b42e9227_BRACA,BRACA
samp833_21466df8_e5a3_4100_b288_952d50a4f0af_LUCA,LUCA
samp834_155e6d67_2aa5_4a49_8859_123f23097162_KICA,KICA
samp835_e48c3846_2a5b_40e3_9012_2d70e5925d68_LECA,LECA
samp836_805f1dee_2182_4071_bb94_92d8aa7a9f47_KICA,KICA
samp837_7686441f_bbb2_4130_8e10_8bdedc8972e9_LECA,LECA
samp838_fb5f0118_87fb_409f_89d8_9bd9f06867b9_BRCA,BRCA
samp839_60416b5c_d970_4ca8_ae6c_1aebf3bc53cd_LECA,LECA
samp840_13cc2a80_d6fe_49ff_9868_c9eac6df3c5e_BRCA,BRCA
samp841_f82540cb_5394_454c_b97a_23e36e7ebe07_KICA,KICA
samp842_be971158_ffec_4142_afc3_4ea3164fa86c_COCA,COCA
samp843_1532733a_296a_48b5_96c3_cd0a277fc3da_LECA,LECA
samp844_dde91732_79b7_41e6_9dc0_49037e9e9436_KICA,KICA
samp845_b88ddc49_d868_4ec2_8fbc_8b2f3ef10e10_BRACA,BRACA
samp846_f3897613_9474_4694_97da_6f67fea325cd_KICA,KICA
samp847_81689459_967b_4096_935d_fcd0caf7fd3a_BRCA,BRCA
samp848_9822383d_356b_4a45_96a2_2826d09bc332_BRACA,BRACA
samp849_748a157e_c150_49f2_9cf8_dc07852f1d7d_KICA,KICA
samp850_33e0a8b2_3e7e_46da_b5ef_76463308d3b9_LUCA,LUCA
samp851_07d93377_83e5_4e1a_a0ad_7cb745fa4595_LECA,LECA
samp852_fc109d68_5678_4ba3_b531_3b1e36caf641_LUCA,LUCA
samp853_89b5ed3c_3a44_4e0b_8258_02290c6c5abe_BRCA,BRCA
samp854_65f730e2_b2db_4d88_9805_0c4e37c7fa63_KICA,KICA
samp855_1242306f_8535_4558_8236_8acca7a33eff_BRACA,BRACA
samp856_1e0cabf4_e813_4246_9879_5902a0cf6a9d_LECA,LECA
samp857_58369b53_786a_49fb_879c_8395f94bf125_COCA,COCA
samp858_0326e97a_2ec7_4038_98f3_03d94962d869_LUCA,LUCA
samp859_5842a066_d158_474e_a4db_034f5797d865_BRCA,BRCA
samp860_09e36262_1093_4185_9294_3653b528096e_COCA,COCA
samp861_f3fbba09_45a4_4a2e_ac0a_781eb383d313_LECA,LECA
samp862_f3e4e86c_1c2f_42da_889a_ee552aa8051f_LECA,LECA
samp863_392b3f33_b57d_4751_a01c_4d6748106917_KICA,KICA
samp864_cec407e2_0631_4d38_81e2_87e726c5754d_LECA,LECA
samp865_114fb96d_d185_4c24_bcb4_0aef35480a31_LECA,LECA
samp866_2c10534e_5fb7_49b0_8f57_584cb31f3a08_COCA,COCA
samp867_cf0ed49e_3dbe_4480_aa10_f16af2e28229_LECA,LECA
samp868_3d6598cf_048d_444c_b526_284d5404ae5f_LECA,LECA
samp869_b0f01acd_4031_48df_9db2_2a966018fcab_LUCA,LUCA
samp870_3e1e3452_6759_4ddc_8ee4_c3e79cfa27ee_LUCA,LUCA
samp871_329d5549_e3c2_4929_a64f_3a02872c3ecf_LECA,LECA
samp872_d1ad6c3b_4e2a_40cd_b3e6_098b845d59cb_BRCA,BRCA
samp873_73410a3c_41e8_48f1_a320_ab61d94b58e7_LECA,LECA
samp874_2057be20_05b1_4338_ae63_7b727ab9c23c_KICA,KICA
samp875_22002e84_1d7a_4f93_9934_9d74f45195c0_LUCA,LUCA
samp876_2c9f571c_d4c1_4cd3_9f76_3fccf3c0c509_BRACA,BRACA
samp877_4b6c958a_7e20_4b88_b30a_2406b123c8c1_LUCA,LUCA
samp878_5314d219_33b3_49f7_bbf6_08b9236f03cc_LECA,LECA
samp879_80afd34a_fc20_46be_85c5_088951628194_BRCA,BRCA
samp880_f1e96fa3_8de2_487d_a026_f65d212a520e_LECA,LECA
samp881_fbd81adc_aa56_4cde_b1f2_e749e2cbf653_LUCA,LUCA
samp882_557c4895_d5f3_4005_abcd_84dafb75f992_LUCA,LUCA
samp883_66941b24_9c8f_4657_a4eb_8cc267e38bdc_BRCA,BRCA
samp884_c6142201_fce9_4532_9039_0e6d589a4586_LECA,LECA
samp885_47b0ec16_d440_4400_991f_81793639324f_LUCA,LUCA
samp886_c73ab91a_15c8_40f0_8e72_1544ce3f4b6c_KICA,KICA
samp887_a411dbfc_0854_4e3c_9aed_42402f358654_LECA,LECA
samp888_cb34d915_1b13_4c29_ac2b_743ea3ea78ec_LUCA,LUCA
samp889_eb54b8a1_6129_4366_9ec4_6dc31f71442c_LECA,LECA
samp890_30d5bd02_e7d9_49f0_af23_6ae0986e0fe5_BRCA,BRCA
samp891_3bc40056_88b6_483c_8701_747eb6e851c4_COCA,COCA
samp892_0f1cbf15_e72d_4f00_9578_51d9dace47fd_LECA,LECA
samp893_4ce33e64_f812_4935_adac_ce4d6b030169_LECA,LECA
samp894_d0ee5ff7_a49a_4633_93a6_40c9e29fb0b7_BRCA,BRCA
samp895_b5d13ab2_98a5_43dd_8cef_c22aec227722_LECA,LECA
samp896_1cf4bb56_75a5_40b5_98c9_bc9fef2ebecb_KICA,KICA
samp897_ba34ebb7_142c_4b38_a488_98a7b7ed5e3f_BRACA,BRACA
samp898_888c0516_a1e7_46c4_a206_cc185cabca4b_LECA,LECA
samp899_8c7e56ee_6856_449c_a619_db32d5b33d4c_LECA,LECA
samp900_de7c2ca2_a0cc_43c2_87c1_798a24380035_LECA,LECA
samp901_ad1ad419_8d25_4057_b0a2_84327b1c8f4b_LECA,LECA
samp902_97de0ec6_cb1d_447e_8b15_cef454727120_BRCA,BRCA
samp903_005dd5c0_28dd_47cf_b215_de393011968c_LECA,LECA
samp904_bcf3c6f7_d06c_45f4_ac8e_fee816623dfa_BRACA,BRACA
samp905_f3bf4152_5e1d_42d2_920e_9dfbe2e0dbc5_LUCA,LUCA
samp906_2b4ee053_96f0_467d_9873_d4de666c4200_KICA,KICA
samp907_e583cd71_1e93_4573_ab44_8c12891e4eb3_LECA,LECA
samp908_c98940e5_aff4_4eec_9cd7_708584356a5f_BRCA,BRCA
samp909_74a73d7b_6831_4d04_97b0_6d1bee9804e4_LECA,LECA
samp910_1f27c0f9_de4f_4c7d_be0c_677eb649c10e_LECA,LECA
samp911_3fe12cfa_5042_4625_ac9a_c1be80013643_KICA,KICA
samp912_e897fbf5_d0d5_47ae_9141_8df7d6d66a56_LECA,LECA
samp913_874e0ac8_441c_466e_9c1a_1719683c0f64_KICA,KICA
samp914_725c9ca0_31db_4dda_ac6d_9be7565e7cfe_COCA,COCA
samp915_9e4ed2a3_37f6_4c7c_9a4b_c8799184eb7f_LECA,LECA
samp916_d2a7bee8_f837_4e11_ae63_2c9a4ebc7899_LECA,LECA
samp917_fe69f63c_b833_4e72_8a71_dd371cde6ede_LECA,LECA
samp918_43c116d2_d73c_4b3f_be49_4262155685b7_LECA,LECA
samp919_ac792e04_54f4_4c6c_9cb5_23a7c1a4ed0b_BRCA,BRCA
samp920_6721aae5_9352_4b46_a865_05e15f261223_KICA,KICA
samp921_d3cfb40a_d28c_4202_9fc7_2569dfdd64d7_KICA,KICA
samp922_0a0f1f44_4127_4281_9ba3_920feb5e4e57_KICA,KICA
samp923_9ca22f6c_326b_4844_8e7d_fb076c7e1067_COCA,COCA
samp924_33be0ad1_6e17_45ab_8577_cecbe1e14f5a_KICA,KICA
samp925_673ab33f_e0ff_4e01_90ee_970fc6e7b7e1_LECA,LECA
samp926_9f3c0f5e_0587_48de_a349_ec0ca7c6a2a9_LECA,LECA
samp927_6765ea22_1463_4638_83e3_5832b8cd658d_LECA,LECA
samp928_06a9adb9_0cc7_4e06_abbe_894f1883ed9f_KICA,KICA
samp929_8215e3ed_ca48_4f0a_8dea_3a10bfef0900_LUCA,LUCA
samp930_3bb49b86_7276_45ad_9aee_88de3a8495b2_KICA,KICA
samp931_bef06091_4b41_44e3_867f_5234f9cc5c49_LUCA,LUCA
samp932_3dbd2f88_df15_4d4f_a0d9_70527eaf721c_LECA,LECA
samp933_675732d7_23c5_436b_b21a_104081feb1be_BRCA,BRCA
samp934_82d0c93d_8b1e_413e_9a5f_ae400884bfcb_LECA,LECA
samp935_17efe3f1_a97a_4e26_b28a_98702fd3c42b_BRCA,BRCA
samp936_a22f3311_3ca0_4a22_986a_63b802fa8683_LUCA,LUCA
samp937_47990394_36a3_4cdf_a6c6_8d9d78bac5b1_BRACA,BRACA
samp938_8e6af4b0_1242_4d20_a0e0_9f7cbb04f116_BRACA,BRACA
samp939_a2af68d8_5013_4450_9411_2b0d3c72eeaf_LUCA,LUCA
samp940_cf4160bb_9ef4_43c1_ac83_f6ca897101ee_BRCA,BRCA
samp941_84595c09_6f85_4a1d_98fa_7d9bc9dc2c28_LUCA,LUCA
samp942_9935bf3a_de25_401c_bf1b_5225a62b24f7_BRCA,BRCA
samp943_7af19e4c_51db_46d8_a678_25dee51e1632_LECA,LECA
samp944_cabdc79a_8efe_4ddc_a256_854f9265bcda_LUCA,LUCA
samp945_36125e17_48fd_4eea_874c_ed2e2e218402_BRCA,BRCA
samp946_0b433208_001d_404d_988c_4ea9668208ae_KICA,KICA
samp947_942aa3d6_48c7_4236_b7e3_3f6474ea23a8_LECA,LECA
samp948_738ae4ab_2691_4028_97d2_5e3b03b4ed7d_LECA,LECA
samp949_eefa0692_7324_4871_a96b_442fb1a5a65c_KICA,KICA
samp950_09c892f3_21fc_40a0_89f2_8f1861042c0b_KICA,KICA
samp951_1576829f_87f4_4ed6_a019_9f98a563f4c6_LECA,LECA
samp952_834c081e_30e0_43e8_a8a9_9202927cbb56_KICA,KICA
samp953_2bbd3e73_3602_42bb_93b1_7c2863e180e6_LECA,LECA
samp954_61198127_4538_4570_be10_a77d6ee57da3_LECA,LECA
samp955_0dbfa70d_2a0d_41c4_aca6_b8df6394bb9c_BRACA,BRACA
samp956_6ac942aa_1b53_43d9_95cd_00c81230fe33_LECA,LECA
samp957_ffce7349_cdf4_48b0_9238_da324d638e95_KICA,KICA
samp958_63da1fd8_ca5b_494f_8625_4daf5f898f53_LUCA,LUCA
samp959_8a9124d9_17ba_4cef_b8c4_8b97cd9c128e_LECA,LECA
samp960_9264bdcb_e62e_4489_9037_28fb6ad0569c_LECA,LECA
samp961_13228736_e003_4431_a1f2_e108ee085b5a_LECA,LECA
samp962_26aaa31b_6432_48fb_b8f4_52258de57037_LECA,LECA
samp963_a21c0490_049b_4451_a714_89007edb62f5_LUCA,LUCA
samp964_0907bd49_d398_47d2_b295_7a7dc0c57c95_LECA,LECA
samp965_89721027_cb83_4756_9987_6365fc9e1432_LECA,LECA
samp966_0915bd7f_dc1d_4a99_89b7_f897986a67ea_BRACA,BRACA
samp967_eb72558c_dc74_431e_a193_3eb643a37092_KICA,KICA
samp968_65f9ba2e_842f_475b_92c5_8867724871b4_BRACA,BRACA
samp969_432dca74_2296_459d_81a3_1e255d45178a_LUCA,LUCA
samp970_e0e9a0df_7052_4d42_b3fd_10ee23ceae62_LUCA,LUCA
samp971_cbd11e4b_dccd_4881_aa6f_9c6bf2c0a213_LUCA,LUCA
samp972_8b78bae0_7f22_47d9_8e1e_addfa0fc19f6_LECA,LECA
samp973_fd713184_4bb4_4e1b_a3b8_636273ee6ccc_LUCA,LUCA
samp974_4a367f57_4ec4_42d1_9923_df07ab9b61ee_BRACA,BRACA
samp975_fd618c1b_e230_408d_aed8_4ad6df3fc4e6_COCA,COCA
samp976_2f002e5c_36d9_47df_a25c_9a1b9a25136d_KICA,KICA
samp977_c4f1a2b9_9d56_4e63_9ca7_7e87db1cb3b1_LECA,LECA
samp978_d05fbbb4_5d10_4384_af18_e8dc5536adc5_LECA,LECA
samp979_aab4bee0_b7a4_4671_b7e3_e11f11abe0e7_BRACA,BRACA
samp980_1a0143ed_cd70_498f_b094_bc71b6921fb3_LUCA,LUCA
samp981_1ca4850a_5354_47ac_8f9b_a7b774c96217_LUCA,LUCA
samp982_396ea0cb_40bb_43df_b94d_d8e25a34a371_COCA,COCA
samp983_63d57102_26d4_48b7_9fd3_bb842f5e5328_KICA,KICA
samp984_f0600d4c_30b2_4713_a185_52c5f70dc970_LUCA,LUCA
samp985_ebc79b86_12cb_4a5b_b0e4_4d1017ef22f4_LUCA,LUCA
samp986_edb9d1d4_ac16_4d29_b741_e4f3483723a6_LECA,LECA
samp987_749da78c_968f_4682_a2fa_5c82ce35a98d_BRCA,BRCA
samp988_2df9a777_2408_42a9_bcaa_33f8395cb6d8_LECA,LECA
samp989_32f80517_a66d_4b2e_95c9_5346c0a4139d_LECA,LECA
samp990_f3946679_18ef_4b67_9ef1_9d2a6a3d318a_BRACA,BRACA
samp991_bbbd4ee0_0eb7_4e8d_8345_e9a453c66c0b_LECA,LECA
samp992_094bd5ef_b1ca_46c6_b717_2519e5a6151b_LUCA,LUCA
samp993_93353576_0a5d_45b3_9fbd_ee0deb11b4c0_LECA,LECA
samp994_bd4ca7de_b046_451a_8a07_722f9b913222_KICA,KICA
samp995_74451679_9e26_4093_ab49_d2f760bbe34f_LECA,LECA
samp996_f3f0919f_f9eb_4baf_aeef_c79fbafef237_BRCA,BRCA
samp997_65eb36b1_1124_4a5e_9f3e_a57583f86107_LECA,LECA
